Original	Genus	Species	SpName
Threnetes.ruckeri.28170	Threnetes	ruckeri	Threnetes_ruckeri
Phaethornis.anthophilus.umt594	Phaethornis	anthophilus	Phaethornis_anthophilus
Phaethornis.atrimentalis.1969	Phaethornis	atrimentalis	Phaethornis_atrimentalis
Phaethornis.ruber.9481	Phaethornis	ruber	Phaethornis_ruber
Phaethornis.griseo.amnhpep1971	Phaethornis	griseogularis	Phaethornis_griseogularis
Phaeth.longuemareus.35952a	Phaethornis	longuemareus	Phaethornis_longuemareus
Phaethornis.augusti.um.t604	Phaethornis	augusti	Phaethornis_augusti
Phaethornis.pretrei.14702	Phaethornis	pretrei	Phaethornis_pretrei
Phaethorn.eurynome.fmnh395410	Phaethornis	eurynome	Phaethornis_eurynome
Phaethornis.subochraceus.6544	Phaethornis	subochraceus	Phaethornis_subochraceus
Phaethornis.bourcieri.11017	Phaethornis	bourcieri	Phaethornis_bourcieri
Phaethornis.hispidus.10629	Phaethornis	hispidus	Phaethornis_hispidus
Phaethornis.koepckeae.5479	Phaethornis	koepckeae	Phaethornis_koepckeae
Phaethornis.philippii.8868	Phaethornis	philippii	Phaethornis_philippii
Phaethornis.guy.35966	Phaethornis	guy	Phaethornis_guy
Phaethornis.yaruqui.7812	Phaethornis	yaruqui	Phaethornis_yaruqui
Phaethornis.malaris.27511	Phaethornis	malaris	Phaethornis_malaris
Phaeth.supercil.b48308	Phaethornis	superciliosus	Phaethornis_superciliosus
Phaeth.longirostris.28503	Phaethornis	longirostris	Phaethornis_longirostris
Phaethorn.syrmat.12138	Phaethornis	syrmatophorus	Phaethornis_syrmatophorus
Topaza.pella.nmnhb5205	Topaza	pella	Topaza_pella
Florisuga.fusca.16936	Florisuga	fusca	Florisuga_fusca
Florisuga.mellivora.9646	Florisuga	mellivora	Florisuga_mellivora
